feature,coef
NumHeteroatoms,0.943094766217745
HBA,0.7806408626448033
NumSaturatedRings,0.5571387117047054
RB,0.5358971047279277
HBD,0.4532832643792109
NumAromaticRings,0.2112570094689631
QED,0.13741173344150415
NumRings,0.06424572838281546
LogP,-0.004724427299224328
HeavyAtomCount,-0.0061535905845753434
NumAliphaticRings,-0.16126386932706138
FractionCSP3,-0.1872773990894455
MolWt,-0.48622880114147493
TPSA,-1.2884421167465645
