smiles,p_active_desc_oof,ic50_nM,MolWt,LogP,TPSA,QED,Lipinski_OK,Veber_OK
COc1cc2c(N[C@H]3COC[C@@H]3OC)ncnc2cc1O[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,0.8658577898522012,50.0,419.4340000000002,0.3699999999999997,113.42000000000002,0.6807426264524993,True,True
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CC2(COC2)C1,0.865187111291007,56.0,458.9210000000005,4.275600000000003,68.74000000000001,0.50520942949614,True,True
COc1cccc(Nc2nc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc3n2C(C)C)c1,0.8645747507903865,1.0,472.5970000000003,4.654800000000004,83.37,0.4020525242732916,True,True
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CC2(CCO2)C1,0.864521304069512,36.0,458.9210000000005,4.418100000000004,68.74000000000001,0.5009866595852216,True,True
COc1ccc(Nc2nc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc3n2C(C)C)cc1,0.8576415203411789,5.0,472.5970000000003,4.654800000000004,83.37,0.4020525242732916,True,True
C=CC(=O)N[C@H]1CCN(c2nc(Nc3ccc(N4CCN(C)CC4)cc3)c3ncn(C(C)C)c3n2)C1,0.8573463344555555,19.0,489.6280000000004,2.783500000000001,94.45,0.4895722634971527,True,True
C=CC(=O)N1CC[C@H](Nc2nc(Nc3ccc(N4CCN(C)CC4)cc3)c3ncn(C(C)C)c3n2)C1,0.8563968616716766,280.0,489.6280000000004,3.101400000000001,94.45,0.4892150732962437,True,True
O=C(/C=C/CN1CC2(CCOCC2)C1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,0.8540434525865912,2159.0,487.9880000000001,4.834500000000003,79.38000000000001,0.4845088943251985,True,True
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCC2(COC2)C1,0.8537603617612849,15.0,472.9480000000005,4.665700000000004,68.74000000000001,0.477777276568103,True,True
C=CC(=O)N1CC[C@@H](Nc2nc(Nc3ccc(N4CCN(C)CC4)cc3)c3ncn(C(C)C)c3n2)C1,0.8532330576852677,29.0,489.6280000000004,3.101400000000001,94.45,0.4892150732962437,True,True
COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CN2CCOCC2CO1,0.8528044346729435,50.0,491.3750000000004,4.167200000000004,77.97,0.5509797134101315,True,True
COc1cc2c(Nc3cc(Cl)c(Cl)cc3F)ncnc2cc1O[C@@H]1C[C@H]2OC[C@H](OC)[C@H]2O1,0.8526180112681172,50.0,496.3220000000003,4.7355000000000045,83.96000000000001,0.4906636918088789,True,True
COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1O[C@@H]1C[C@H]2OC[C@H](OC)[C@H]2O1,0.8526180112681172,50.0,496.3220000000003,4.7355000000000045,83.96000000000001,0.4906636918088789,True,True
C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCOCC4)cc3OC)nc3ccsc23)CC1,0.8479311973166898,9.664,495.6050000000004,3.835900000000003,89.05000000000001,0.4949194593001872,True,True
C=CC(=O)N[C@@H]1CN(c2nc(Nc3cn(C)nc3OC)c3ncn(CC)c3n2)C[C@H]1F,0.8472568552711933,8.0,429.4600000000002,1.1607999999999992,115.02000000000002,0.5379568334530174,True,True
C=CC(=O)N[C@@H]1CN(c2nc(Nc3cn(CC)nc3OC)c3ncn(C)c3n2)C[C@H]1F,0.8461497562735965,1.0,429.4600000000002,1.1607999999999992,115.02000000000002,0.5379568334530174,True,True
CN1CCN(C/C=C/C(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3s2)CC1,0.8425899207702886,3.0,460.9660000000002,3.969500000000002,73.39,0.5421493625380015,True,True
CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)n(C)c4n3)cc2)CC1,0.8410232926309044,3.0,414.51700000000017,3.6023000000000023,74.14,0.516795251106927,True,True
CN1CCN(c2ccc3c(n2)nc(-c2ccc(F)cc2)n3-c2ccnc(NC3CCCC3)n2)CC1,0.8405736102971625,8700.0,472.5720000000003,4.122900000000003,75.0,0.4682604304430528,True,True
CO[C@H]1CCN(c2nccc(Nc3cc4c(cn3)nc([C@@H](C)O)n4[C@H](C)C(F)(F)F)n2)C[C@H]1F,0.8403704619480291,27.0,483.47000000000014,3.7047000000000017,101.22,0.5121528667839174,True,True
C=CC(=O)N1CCC(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)CC1,0.8403288711432153,4.902,478.6220000000004,3.7425000000000015,73.83000000000001,0.5411798010779254,True,True
COc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1O[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2F,0.8401794683054422,50.0,449.8410000000002,4.0576000000000025,74.73,0.6292623259597615,True,True
Fc1ccc(Nc2ncnc3ccc(NC(=S)NCCN4CCOCC4)cc23)cc1Cl,0.8395046039629264,2.25,460.9660000000004,3.784500000000002,74.34,0.4797790629894363,True,True
COc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1O[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2OC,0.8378843811969373,50.0,461.8770000000003,3.7345000000000015,83.96000000000001,0.5941363703770437,True,True
CCN1CCN(C/C=C/C(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3s2)CC1,0.8378463973766206,4.0,474.9930000000002,4.359600000000002,73.39,0.4955700887096975,True,True
